Gen	Fittest  	F0HANN	Perfor	BestPrf  	F0HANN	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
0 	     1110	0.6190	0.6190	     1077	0.6190	0.6190	0	0	50	50	0	4.0	0/1	0/1	0	41/44/46	6.330	0 00:21:06	13MB 	0.5344761896133423
1 	     1324	0.6190	0.6190	     1285	0.6190	0.6190	0	0	39	27	38	4.0	0/6	0/1	4	41/43/47	3.917	0 00:20:12	12MB 	0.5261437846165077
2 	     1353	0.6190	0.6190	     1285	0.6190	0.6190	0	0	43	32	28	4.0	0/6	0/2	4	39/43/47	4.739	0 00:19:39	28MB 	0.5376093290290054
3 	     1413	0.6190	0.6190	     1390	0.6190	0.6190	0	0	42	28	29	4.0	0/3	0/2	3	40/43/48	3.190	0 00:18:38	11MB 	0.5171525660826235
4 	     1492	0.6522	0.6522	     1492	0.6522	0.6522	0	0	44	35	33	4.0	0/4	0/2	4	38/43/46	5.226	0 00:18:24	20MB 	0.5100540762044945
5 	     1492	0.6190	0.6190	     1492	0.6190	0.6190	0	0	40	30	34	6.8	0/4	0/2	3	39/44/48	3.981	0 00:17:46	25MB 	0.5025835709368929
6 	     1653	0.6190	0.6190	     1619	0.6190	0.6190	0	0	31	20	29	6.8	0/4	0/3	6	42/44/48	4.654	0 00:17:25	13MB 	0.5271355410416921
7 	     1704	0.6190	0.6190	     1691	0.6190	0.6190	0	0	39	29	21	6.8	0/4	0/3	6	38/44/49	1.912	0 00:16:12	12MB 	0.5188571310043335
8 	     1746	0.6190	0.6190	     1691	0.6190	0.6190	0	0	30	19	28	6.8	0/5	0/3	3	40/44/48	2.839	0 00:15:25	35MB 	0.5328157284985418
9 	     1807	0.6190	0.6190	     1691	0.6190	0.6190	0	0	31	21	20	6.8	0/5	0/3	4	39/44/48	3.483	0 00:14:55	24MB 	0.5320655472424566
10 	     1890	0.6190	0.6190	     1839	0.6190	0.6190	0	0	32	23	22	10.5	0/5	0/3	4	38/43/48	2.335	0 00:14:05	19MB 	0.5320622553216651
11 	     1899	0.6364	0.6364	     1899	0.6364	0.6364	0	0	21	13	24	10.5	0/6	0/3	4	37/43/48	2.981	0 00:13:33	38MB 	0.5678456336893933
12 	     1992	0.8095	0.8095	     1992	0.8095	0.8095	0	0	27	20	14	10.5	0/8	0/4	3	38/43/47	4.515	0 00:13:33	38MB 	0.5953352889236139
13 	     1992	0.8095	0.8095	     1992	0.8095	0.8095	0	0	24	17	20	10.5	0/10	0/4	3	36/42/47	3.383	0 00:13:11	37MB 	0.5947420746088028
14 	     1992	0.8095	0.8095	     1992	0.8095	0.8095	0	0	24	14	14	10.5	0/11	0/4	5	36/44/49	4.027	0 00:13:03	17MB 	0.6077259584349028
15 	     1992	0.8095	0.8095	     1992	0.8095	0.8095	0	0	16	8	16	12.8	0/7	0/5	3	35/44/49	3.329	0 00:12:43	32MB 	0.5985815702600682
16 	     2200	1.0000	1.0000	     2200	1.0000	1.0000	0	0	28	19	7	12.8	0/7	0/6	2	35/44/50	4.640	0 00:12:48	32MB 	0.6133809638023376
17 	     2200	1.0000	1.0000	     2200	1.0000	1.0000	0	0	23	12	17	12.8	0/8	0/6	3	36/44/51	4.084	0 00:12:42	35MB 	0.6178571544587612
18 	     2200	1.0000	1.0000	     2200	1.0000	1.0000	0	0	17	8	14	12.8	0/10	0/6	4	36/44/51	2.442	0 00:12:07	24MB 	0.6289186601837476
19 	     2200	1.0000	1.0000	     2200	1.0000	1.0000	0	0	21	12	8	12.8	0/8	0/6	2	35/43/50	4.736	0 00:12:16	26MB 	0.6431051716208458
Gen	Fittest  	F0HANN	Perfor	BestPrf  	F0HANN	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
20 	     2200	1.0000	1.0000	     2200	1.0000	1.0000	0	0	17	7	11	15.8	0/9	0/5	3	36/44/50	3.624	0 00:12:04	41MB 	0.6189014315605164
