Gen	Fittest  	F0QLam	Perfor	BestPrf  	F0QLam	Perfor	ZPC	ZFC	SC	NS	ES	SCT	SS	SA    	SNBP	GS      	Time	ETA      	Mem		Avg
0 	     1091	0.2282	0.2282	     1091	0.2282	0.2282	0	0	50	50	0	4.0	0/1	0/1	0	25/26/28	371.585	0 20:38:37	86MB 	0.11430431842803955
1 	     1239	0.2149	0.2149	     1239	0.2149	0.2149	0	0	26	15	39	7.1	0/1	0/1	1	23/26/30	303.356	0 20:09:48	33MB 	0.15639782547950745
2 	     1293	0.2192	0.2192	     1293	0.2192	0.2192	0	0	16	5	15	10.1	0/7	0/2	3	24/27/31	356.822	0 20:01:06	67MB 	0.15408710679229426
3 	     1376	0.2131	0.2131	     1376	0.2131	0.2131	0	0	18	6	4	15.2	0/7	0/3	4	22/27/32	291.787	0 19:31:20	76MB 	0.16149619698524476
4 	     1441	0.2539	0.2539	     1441	0.2539	0.2539	0	0	11	3	10	19.2	0/12	0/4	6	23/27/31	282.328	0 19:01:04	56MB 	0.16337637354930243
5 	     1489	0.2722	0.2722	     1489	0.2722	0.2722	0	0	5	0	6	20.5	6/13	1/5	4	22/28/32	284.571	0 18:34:13	34MB 	0.16285620598082848
6 	     1546	0.2309	0.2309	     1546	0.2309	0.2309	0	0	7	2	0	23.3	0/19	0/6	2	25/30/34	298.124	0 18:14:02	53MB 	0.15077249050140382
7 	     1611	0.2345	0.2345	     1611	0.2345	0.2345	0	0	7	2	2	26.4	0/17	0/6	2	29/32/35	300.870	0 17:56:20	25MB 	0.15586106996147
8 	     1685	0.2892	0.2892	     1685	0.2892	0.2892	0	0	4	0	3	27.2	5/21	1/5	3	28/33/36	287.698	0 17:35:45	88MB 	0.15353848164280257
9 	     1772	0.2581	0.2581	     1772	0.2581	0.2581	0	0	5	1	0	29.1	0/18	0/6	0	28/33/36	297.781	0 17:20:01	27MB 	0.15782085657119752
10 	     1772	0.2319	0.2319	     1772	0.2319	0.2319	0	0	4	0	1	30.0	6/28	3/7	0	28/33/38	284.897	0 17:01:20	44MB 	0.1745608377456665
11 	     1863	0.2739	0.2739	     1863	0.2739	0.2739	0	0	4	0	0	31.0	6/29	3/8	1	32/35/38	286.511	0 16:44:37	76MB 	0.18028875231742858
12 	     1935	0.2780	0.2780	     1935	0.2780	0.2780	0	0	3	0	1	31.0	8/26	4/9	2	27/34/40	273.866	0 16:25:11	63MB 	0.16048843413591385
13 	     2004	0.2193	0.2193	     2004	0.2193	0.2193	0	0	6	3	0	34.1	0/19	0/10	0	31/34/39	285.031	0 16:10:47	68MB 	0.17033548951148986
14 	     2060	0.2461	0.2461	     2060	0.2461	0.2461	0	0	5	0	1	36.4	0/20	0/11	1	31/35/40	286.815	0 15:57:57	63MB 	0.17499325871467591
15 	     2070	0.2412	0.2412	     2070	0.2412	0.2412	0	0	5	0	0	38.8	5/15	1/12	2	31/35/40	288.625	0 15:46:30	80MB 	0.1477757441997528
16 	     2162	0.2412	0.2412	     2162	0.2412	0.2412	0	0	5	0	0	41.4	5/25	2/13	0	27/37/42	288.217	0 15:35:38	93MB 	0.16259845972061157
17 	     2243	0.2383	0.2383	     2243	0.2383	0.2383	0	0	4	0	1	42.8	9/18	3/14	0	28/36/44	286.228	0 15:24:48	84MB 	0.16419942646610494
18 	     2306	0.2336	0.2336	     2306	0.2336	0.2336	0	0	4	0	0	44.2	6/21	4/15	0	33/37/43	289.131	0 15:15:28	46MB 	0.17135432481765747
